sg_idx,case,sample_rank,recon_index,mat,node,row_type,matched_mse_mean,matched_mse_node,feat_bin_mse,case_recover_mse_mean,case_recover_mse_var,case_feat_bin_mse_mean,case_feat_bin_mse_var
0,case1_exact_pattern,10,10,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 1.0 4.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],mean,sample_mean,2.1134395649243562e-07,2.1134395649243562e-07,0.18291666666666667,,,,
0,case1_exact_pattern,11,11,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 2.0 6.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],2,node,7.025784839103043e-08,2.140130660805386e-07,0.16,,,,
0,case1_exact_pattern,11,11,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 2.0 6.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],3,node,7.025784839103043e-08,6.701832748358313e-08,0.0,,,,
0,case1_exact_pattern,11,11,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 2.0 6.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],6,node,7.025784839103043e-08,3.700429385437979e-34,0.0,,,,
0,case1_exact_pattern,11,11,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 2.0 6.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],9,node,7.025784839103043e-08,6.675988277596279e-34,0.0,,,,
0,case1_exact_pattern,11,11,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 2.0 6.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],mean,sample_mean,7.025784839103043e-08,7.025784839103043e-08,0.04,,,,
0,case1_exact_pattern,12,12,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 2.0 5.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],2,node,3.736337161245556e-08,8.243515896623915e-08,0.16,,,,
0,case1_exact_pattern,12,12,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 2.0 5.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],3,node,3.736337161245556e-08,6.701832748358308e-08,0.0,,,,
0,case1_exact_pattern,12,12,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 2.0 5.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],6,node,3.736337161245556e-08,2.028986400563841e-34,0.0,,,,
0,case1_exact_pattern,12,12,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 2.0 5.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],9,node,3.736337161245556e-08,2.7744583234634105e-34,0.0,,,,
