sg_idx,case,sample_rank,recon_index,node,row_type,matched_mse_mean,matched_mse_node,cosine_similarity,case_mse_mean,case_mse_var,case_cosine_similarity_mean,case_cosine_similarity_var
0,case2_zero_count,9,105,mean,sample_mean,5.538051623547022e-05,5.538051623547022e-05,0.24757914530230923,,,,
0,case2_zero_count,10,128,2,node,4.0015069057164076e-05,0.00011693642478311612,-0.03281607613790323,,,,
0,case2_zero_count,10,128,3,node,4.0015069057164076e-05,2.1480985693944538e-05,0.055225381340901825,,,,
0,case2_zero_count,10,128,6,node,4.0015069057164076e-05,2.1613226287110037e-05,0.06687068980093233,,,,
0,case2_zero_count,10,128,9,node,4.0015069057164076e-05,2.963946448562183e-08,0.3614619409137723,,,,
0,case2_zero_count,10,128,mean,sample_mean,4.0015069057164076e-05,4.0015069057164076e-05,0.11268548397942581,,,,
0,case2_zero_count,11,160,2,node,7.527617402940904e-08,1.205744417052969e-07,0.9285357977018182,,,,
0,case2_zero_count,11,160,3,node,7.527617402940904e-08,2.2257154653576063e-08,0.669810617474252,,,,
0,case2_zero_count,11,160,6,node,7.527617402940904e-08,5.159923007193408e-35,0.9999999999999751,,,,
0,case2_zero_count,11,160,9,node,7.527617402940904e-08,1.582730997587632e-07,0.9705674271582149,,,,
0,case2_zero_count,11,160,mean,sample_mean,7.527617402940904e-08,7.527617402940904e-08,0.8922284605835651,,,,
0,case2_zero_count,12,164,2,node,1.7398381940811907e-07,6.424857428249467e-07,0.9162482921131676,,,,
0,case2_zero_count,12,164,3,node,1.7398381940811907e-07,2.225715465357608e-08,0.6698106174742504,,,,
0,case2_zero_count,12,164,6,node,1.7398381940811907e-07,8.396731937410895e-36,0.9999999999999745,,,,
0,case2_zero_count,12,164,9,node,1.7398381940811907e-07,3.1192380153953414e-08,0.7435841859456371,,,,
0,case2_zero_count,12,164,mean,sample_mean,1.7398381940811907e-07,1.7398381940811907e-07,0.8324107738832573,,,,
0,case2_zero_count,13,197,2,node,2.2948744940323977e-05,9.946779934818701e-07,0.3652202738694036,,,,
0,case2_zero_count,13,197,3,node,2.2948744940323977e-05,1.2542526209801035e-05,0.052773833475509575,,,,
0,case2_zero_count,13,197,6,node,2.2948744940323977e-05,7.825416068733875e-05,0.007969452989381547,,,,
0,case2_zero_count,13,197,9,node,2.2948744940323977e-05,3.614870674247146e-09,0.8823822372913761,,,,
0,case2_zero_count,13,197,mean,sample_mean,2.2948744940323977e-05,2.2948744940323977e-05,0.32708644940641773,,,,
0,case2_zero_count,14,221,2,node,4.390357812315112e-05,0.0001036548803173655,-0.03364933309524221,,,,
0,case2_zero_count,14,221,3,node,4.390357812315112e-05,2.591441853435619e-05,0.06338281347353972,,,,
0,case2_zero_count,14,221,6,node,4.390357812315112e-05,4.6041398770208527e-05,-0.006742595112168297,,,,
0,case2_zero_count,14,221,9,node,4.390357812315112e-05,3.6148706742471368e-09,0.8823822372913765,,,,
0,case2_zero_count,14,221,mean,sample_mean,4.390357812315112e-05,4.390357812315112e-05,0.22634328063937645,,,,
0,case2_zero_count,15,234,2,node,2.5748813053428564e-06,1.0246075686563895e-05,0.8342323443120535,,,,
0,case2_zero_count,15,234,3,node,2.5748813053428564e-06,2.225715465357608e-08,0.6698106174742507,,,,
0,case2_zero_count,15,234,6,node,2.5748813053428564e-06,1.3315474003788617e-34,0.9999999999999746,,,,
0,case2_zero_count,15,234,9,node,2.5748813053428564e-06,3.119238015395393e-08,0.7435841859456377,,,,
0,case2_zero_count,15,234,mean,sample_mean,2.5748813053428564e-06,2.5748813053428564e-06,0.8119067869329791,,,,
0,case2_zero_count,16,271,2,node,3.094993793837508e-08,9.37445020614359e-08,0.9320992203556454,,,,
0,case2_zero_count,16,271,3,node,3.094993793837508e-08,2.2257154653576133e-08,0.6698106174742536,,,,
0,case2_zero_count,16,271,6,node,3.094993793837508e-08,7.798095038488279e-09,0.8888505383474936,,,,
0,case2_zero_count,16,271,9,node,3.094993793837508e-08,1.0401329732298142e-35,0.9999999999999754,,,,
0,case2_zero_count,16,271,mean,sample_mean,3.094993793837508e-08,3.094993793837508e-08,0.8726900940443421,,,,
0,case2_zero_count,17,285,2,node,5.544062218625417e-09,1.551316355613427e-08,0.9463833022992855,,,,
0,case2_zero_count,17,285,3,node,5.544062218625417e-09,6.6630853183674e-09,0.874093909656586,,,,
0,case2_zero_count,17,285,6,node,5.544062218625417e-09,2.284858435294733e-35,0.9999999999999748,,,,
0,case2_zero_count,17,285,9,node,5.544062218625417e-09,6.506253223238579e-37,0.9999999999999749,,,,
0,case2_zero_count,17,285,mean,sample_mean,5.544062218625417e-09,5.544062218625417e-09,0.9551193029889553,,,,
0,case2_zero_count,18,297,2,node,2.5728264217925393e-05,2.7275215662977052e-05,-0.004380507192023721,,,,
0,case2_zero_count,18,297,3,node,2.5728264217925393e-05,2.7239426969866297e-05,0.059120107228376045,,,,
0,case2_zero_count,18,297,6,node,2.5728264217925393e-05,4.839479936818397e-05,-0.0019998876131685378,,,,
0,case2_zero_count,18,297,9,node,2.5728264217925393e-05,3.614870674247115e-09,0.8823822372913769,,,,
0,case2_zero_count,18,297,mean,sample_mean,2.5728264217925393e-05,2.5728264217925393e-05,0.23378048742864016,,,,
0,case2_zero_count,19,301,2,node,4.610452739322299e-06,1.566400956187177e-06,0.10618047543297443,,,,
0,case2_zero_count,19,301,3,node,4.610452739322299e-06,3.095661494217404e-08,-0.3306980803154972,,,,
0,case2_zero_count,19,301,6,node,4.610452739322299e-06,8.429941330494486e-06,0.05444637780481625,,,,
0,case2_zero_count,19,301,9,node,4.610452739322299e-06,8.414512055665359e-06,0.059803790165628166,,,,
0,case2_zero_count,19,301,mean,sample_mean,4.610452739322299e-06,4.610452739322299e-06,-0.02756685922801958,,,,
0,case2_zero_count,20,345,2,node,2.1578692696022092e-08,5.416554739558965e-08,0.9348884608093856,,,,
0,case2_zero_count,20,345,3,node,2.1578692696022092e-08,2.2257154653576027e-08,0.669810617474246,,,,
0,case2_zero_count,20,345,6,node,2.1578692696022092e-08,1.5424831969506244e-36,0.9999999999999747,,,,
0,case2_zero_count,20,345,9,node,2.1578692696022092e-08,9.892068734922694e-09,0.9923406934587385,,,,
0,case2_zero_count,20,345,mean,sample_mean,2.1578692696022092e-08,2.1578692696022092e-08,0.8992599429355862,,,,
0,case2_zero_count,21,349,2,node,7.22152083305132e-08,2.646541549088546e-07,0.928854768637976,,,,
0,case2_zero_count,21,349,3,node,7.22152083305132e-08,2.22571546535761e-08,0.6698106174742529,,,,
0,case2_zero_count,21,349,6,node,7.22152083305132e-08,5.1369044753478136e-36,0.9999999999999747,,,,
0,case2_zero_count,21,349,9,node,7.22152083305132e-08,1.949523759622039e-09,0.9590983576734256,,,,
0,case2_zero_count,21,349,mean,sample_mean,7.22152083305132e-08,7.22152083305132e-08,0.8894409359464073,,,,
0,case2_zero_count,22,353,2,node,1.1910287416315047e-08,1.7585899973195885e-08,0.9616551509974561,,,,
0,case2_zero_count,22,353,3,node,1.1910287416315047e-08,2.2257154653576103e-08,0.6698106174742546,,,,
0,case2_zero_count,22,353,6,node,1.1910287416315047e-08,7.798095038488196e-09,0.8888505383474956,,,,
0,case2_zero_count,22,353,9,node,1.1910287416315047e-08,3.2518977197279772e-37,0.9999999999999749,,,,
0,case2_zero_count,22,353,mean,sample_mean,1.1910287416315047e-08,1.1910287416315047e-08,0.8800790767047952,,,,
0,case2_zero_count,23,368,2,node,6.961332021727183e-09,1.376987325768289e-08,0.9760058203972456,,,,
0,case2_zero_count,23,368,3,node,6.961332021727183e-09,1.407545482922584e-08,0.8195228352346282,,,,
0,case2_zero_count,23,368,6,node,6.961332021727183e-09,7.490767566428457e-35,0.9999999999999749,,,,
0,case2_zero_count,23,368,9,node,6.961332021727183e-09,3.3298588917975355e-35,0.9999999999999751,,,,
0,case2_zero_count,23,368,mean,sample_mean,6.961332021727183e-09,6.961332021727183e-09,0.9488821639079559,,,,
0,case2_zero_count,24,371,2,node,9.287950064162101e-08,3.059535953068518e-07,0.8870747699262427,,,,
0,case2_zero_count,24,371,3,node,9.287950064162101e-08,2.225715465357622e-08,0.6698106174742531,,,,
0,case2_zero_count,24,371,6,node,9.287950064162101e-08,4.3307252606056e-08,0.9858821285093099,,,,
0,case2_zero_count,24,371,9,node,9.287950064162101e-08,1.4355762432084832e-34,0.9999999999999747,,,,
0,case2_zero_count,24,371,mean,sample_mean,9.287950064162101e-08,9.287950064162101e-08,0.8856918789774451,,,,
0,case2_zero_count,25,388,2,node,6.916705766872882e-07,1.2088027285295912e-07,0.7501049685971446,,,,
0,case2_zero_count,25,388,3,node,6.916705766872882e-07,1.0906005780252265e-06,0.9556174816265144,,,,
0,case2_zero_count,25,388,6,node,6.916705766872882e-07,5.385421572527318e-35,0.999999999999975,,,,
0,case2_zero_count,25,388,9,node,6.916705766872882e-07,1.5552014558709672e-06,0.9192079250658103,,,,
0,case2_zero_count,25,388,mean,sample_mean,6.916705766872882e-07,6.916705766872882e-07,0.9062325938223611,,,,
0,case2_zero_count,26,390,2,node,1.1899454316318402e-07,4.438289492642373e-07,0.896908392198268,,,,
0,case2_zero_count,26,390,3,node,1.1899454316318402e-07,2.22571546535761e-08,0.6698106174742525,,,,
0,case2_zero_count,26,390,6,node,1.1899454316318402e-07,2.5965764425099403e-35,0.9999999999999752,,,,
0,case2_zero_count,26,390,9,node,1.1899454316318402e-07,9.892068734922654e-09,0.9923406934587388,,,,
0,case2_zero_count,26,390,mean,sample_mean,1.1899454316318402e-07,1.1899454316318402e-07,0.8897649257828086,,,,
0,case2_zero_count,27,433,2,node,1.2010996962998884e-05,4.700480783074647e-06,0.1390371484009956,,,,
0,case2_zero_count,27,433,3,node,1.2010996962998884e-05,4.213989308944475e-05,-0.0283120136898913,,,,
0,case2_zero_count,27,433,6,node,1.2010996962998884e-05,7.942831071343803e-10,0.975927950902272,,,,
0,case2_zero_count,27,433,9,node,1.2010996962998884e-05,1.2028196963690112e-06,0.03782501529805986,,,,
0,case2_zero_count,27,433,mean,sample_mean,1.2010996962998884e-05,1.2010996962998884e-05,0.28111952522785905,,,,
0,case2_zero_count,28,471,2,node,9.228087106660075e-11,3.69123484266403e-10,0.9914005792227095,,,,
0,case2_zero_count,28,471,3,node,9.228087106660075e-11,4.427561962670511e-36,0.9999999999999736,,,,
0,case2_zero_count,28,471,6,node,9.228087106660075e-11,5.493585608300898e-36,0.9999999999999748,,,,
0,case2_zero_count,28,471,9,node,9.228087106660075e-11,1.007514028903609e-34,0.9999999999999749,,,,
0,case2_zero_count,28,471,mean,sample_mean,9.228087106660075e-11,9.228087106660075e-11,0.9978501448056583,,,,
0,case2_zero_count,29,550,2,node,3.982787252729007e-09,2.4669443439379398e-09,0.9923328720096005,,,,
0,case2_zero_count,29,550,3,node,3.982787252729007e-09,1.3464204666978088e-08,0.9909669076164032,,,,
0,case2_zero_count,29,550,6,node,3.982787252729007e-09,3.5151514713731426e-36,0.9999999999999748,,,,
0,case2_zero_count,29,550,9,node,3.982787252729007e-09,5.477657909998342e-35,0.9999999999999749,,,,
0,case2_zero_count,29,550,mean,sample_mean,3.982787252729007e-09,3.982787252729007e-09,0.9958249449064884,,,,
0,case2_zero_count,30,566,2,node,7.422942931129619e-09,2.302868640615105e-08,0.9375531758150453,,,,
0,case2_zero_count,30,566,3,node,7.422942931129619e-09,6.663085318367428e-09,0.8740939096565856,,,,
0,case2_zero_count,30,566,6,node,7.422942931129619e-09,1.091028207287149e-34,0.9999999999999748,,,,
0,case2_zero_count,30,566,9,node,7.422942931129619e-09,1.8045546304287216e-34,0.9999999999999749,,,,
0,case2_zero_count,30,566,mean,sample_mean,7.422942931129619e-09,7.422942931129619e-09,0.9529117713678952,,,,
0,case3_no_structure,1,149742,2,node,2.5122590733702184e-06,1.7174563557191064e-08,0.6058981244116803,,,,
0,case3_no_structure,1,149742,3,node,2.5122590733702184e-06,4.871389885942946e-06,0.9005382422359914,,,,
0,case3_no_structure,1,149742,6,node,2.5122590733702184e-06,5.072011995948824e-06,0.9072017477780928,,,,
0,case3_no_structure,1,149742,9,node,2.5122590733702184e-06,8.845984803191336e-08,0.9456039085173099,,,,
0,case3_no_structure,1,149742,mean,sample_mean,2.5122590733702184e-06,2.5122590733702184e-06,0.8398105057357687,,,,
0,case3_no_structure,2,211816,2,node,5.4696114702077575e-05,5.033239069746018e-08,0.945317910699126,,,,
0,case3_no_structure,2,211816,3,node,5.4696114702077575e-05,4.916912857122023e-10,0.9892350541097636,,,,
0,case3_no_structure,2,211816,6,node,5.4696114702077575e-05,0.0002186253267708687,0.010994225969769228,,,,
0,case3_no_structure,2,211816,9,node,5.4696114702077575e-05,1.0830795545841591e-07,0.8894405605875173,,,,
0,case3_no_structure,2,211816,mean,sample_mean,5.4696114702077575e-05,5.4696114702077575e-05,0.7087469378415441,,,,
0,case3_no_structure,3,341111,2,node,2.479982681605322e-06,9.617452848350869e-06,0.8974646216446815,,,,
0,case3_no_structure,3,341111,3,node,2.479982681605322e-06,1.2667909346303224e-07,0.658518330877331,,,,
0,case3_no_structure,3,341111,6,node,2.479982681605322e-06,3.75637090726277e-35,0.9999999999999749,,,,
0,case3_no_structure,3,341111,9,node,2.479982681605322e-06,1.7579878460738642e-07,0.9728697840901295,,,,
0,case3_no_structure,3,341111,mean,sample_mean,2.479982681605322e-06,2.479982681605322e-06,0.8822131841530293,,,,
0,case3_no_structure,4,342680,2,node,1.2453219599839347e-06,1.6572991944849567e-06,0.8687944978374159,,,,
0,case3_no_structure,4,342680,3,node,1.2453219599839347e-06,2.2257154653576133e-08,0.6698106174742582,,,,
0,case3_no_structure,4,342680,6,node,1.2453219599839347e-06,3.2390890704478077e-06,0.940751698679804,,,,
0,case3_no_structure,4,342680,9,node,1.2453219599839347e-06,6.264242034939847e-08,0.7167222958952654,,,,
0,case3_no_structure,4,342680,mean,sample_mean,1.2453219599839347e-06,1.2453219599839347e-06,0.7990197774716858,,,,
0,case3_no_structure,5,358904,2,node,9.510725768760876e-08,2.6781292409059397e-07,0.9164908936061681,,,,
0,case3_no_structure,5,358904,3,node,9.510725768760876e-08,6.695323102264853e-08,0.3862717179806612,,,,
0,case3_no_structure,5,358904,6,node,9.510725768760876e-08,1.447049548323934e-08,0.9553192624245089,,,,
0,case3_no_structure,5,358904,9,node,9.510725768760876e-08,3.1192380153953235e-08,0.7435841859456369,,,,
