sg_idx,case,sample_rank,recon_index,node,row_type,matched_mse_mean,matched_mse_node,ssim,psnr,case_mse_mean,case_mse_var,case_ssim_mean,case_ssim_var,case_psnr_mean,case_psnr_var
0,case1_exact_pattern,28,28,2,node,6.744077291043265e-11,1.8562615237884038e-10,0.5894858339060479,18.074089563300134,,,,,,
0,case1_exact_pattern,28,28,3,node,6.744077291043265e-11,8.413693926289024e-11,0.5092853540957072,18.848794388524638,,,,,,
0,case1_exact_pattern,28,28,6,node,6.744077291043265e-11,2.686351990233462e-36,0.6458261995718776,21.64183785944997,,,,,,
0,case1_exact_pattern,28,28,9,node,6.744077291043265e-11,8.807177703201998e-35,0.7218658605664326,22.135160253162557,,,,,,
0,case1_exact_pattern,28,28,mean,sample_mean,6.744077291043265e-11,6.744077291043265e-11,0.6166158120350164,20.174970516109326,,,,,,
0,case1_exact_pattern,29,29,2,node,3.716879402560897e-11,6.453823683954595e-11,0.5813926106816605,17.818838088981327,,,,,,
0,case1_exact_pattern,29,29,3,node,3.716879402560897e-11,8.413693926288993e-11,0.5336555695085837,19.29257994846972,,,,,,
0,case1_exact_pattern,29,29,6,node,3.716879402560897e-11,7.275138499356474e-35,0.6543148912562962,21.587464889663448,,,,,,
0,case1_exact_pattern,29,29,9,node,3.716879402560897e-11,4.9710562403382043e-36,0.7318921893689433,21.8089106593779,,,,,,
0,case1_exact_pattern,29,29,mean,sample_mean,3.716879402560897e-11,3.716879402560897e-11,0.625313815203871,20.1269483966231,,,,,,
0,case1_exact_pattern,30,30,2,node,3.038278362271027e-11,3.739419522795111e-11,0.6432536478218449,19.202302572674192,,,,,,
0,case1_exact_pattern,30,30,3,node,3.038278362271027e-11,8.413693926288997e-11,0.39975415523483937,17.917840362609528,,,,,,
0,case1_exact_pattern,30,30,6,node,3.038278362271027e-11,8.856158048049201e-35,0.6299850927180602,21.373223008684796,,,,,,
0,case1_exact_pattern,30,30,9,node,3.038278362271027e-11,1.3638797312626972e-34,0.7173104017663935,21.63085739715032,,,,,,
0,case1_exact_pattern,30,30,mean,sample_mean,3.038278362271027e-11,3.038278362271027e-11,0.5975758243852844,20.03105583527971,,,,,,
0,case2_zero_count,1,7,2,node,6.493298881286858e-05,2.5353205365921266e-05,0.006081871368338771,10.494154633747158,,,,,,
0,case2_zero_count,1,7,3,node,6.493298881286858e-05,6.3347150982280425e-06,0.04041872359365234,9.982657397644928,,,,,,
0,case2_zero_count,1,7,6,node,6.493298881286858e-05,0.00022804371988606505,0.006485587663233432,10.430409430960758,,,,,,
0,case2_zero_count,1,7,9,node,6.493298881286858e-05,3.1490125998333624e-10,0.43831146132725846,16.892885679195324,,,,,,
0,case2_zero_count,1,7,mean,sample_mean,6.493298881286858e-05,6.493298881286858e-05,0.12282441098812075,11.950026785387042,,,,,,
0,case2_zero_count,2,45,2,node,8.95203518165929e-09,3.295180376439133e-08,0.39519756220886837,15.424890855850741,,,,,,
0,case2_zero_count,2,45,3,node,8.95203518165929e-09,1.3908351184273674e-10,0.46230504980292547,18.756875340582546,,,,,,
0,case2_zero_count,2,45,6,node,8.95203518165929e-09,1.918472486570277e-35,0.6565057340103199,21.546878933713657,,,,,,
0,case2_zero_count,2,45,9,node,8.95203518165929e-09,2.717253450403091e-09,0.5350554193146478,18.366082847574,,,,,,
0,case2_zero_count,2,45,mean,sample_mean,8.95203518165929e-09,8.95203518165929e-09,0.5122659413341903,18.523681994430234,,,,,,
0,case2_zero_count,3,47,2,node,9.111701810806713e-10,7.88343762076872e-10,0.5859660013476222,17.72858526736823,,,,,,
0,case2_zero_count,3,47,3,node,9.111701810806713e-10,1.3908351184273705e-10,0.44736800586313974,18.226781968985247,,,,,,
0,case2_zero_count,3,47,6,node,9.111701810806713e-10,2.4842637456296665e-35,0.6172014011681521,20.946370627914696,,,,,,
0,case2_zero_count,3,47,9,node,9.111701810806713e-10,2.717253450403076e-09,0.5392524229988548,19.216320183758736,,,,,,
0,case2_zero_count,3,47,mean,sample_mean,9.111701810806713e-10,9.111701810806713e-10,0.5474469578444422,19.029514512006728,,,,,,
0,case2_zero_count,4,72,2,node,9.4710382812624e-10,2.970018438061454e-09,0.5190709287266554,17.446809229948947,,,,,,
0,case2_zero_count,4,72,3,node,9.4710382812624e-10,1.3908351184273682e-10,0.46533817433422725,18.63325799535417,,,,,,
0,case2_zero_count,4,72,6,node,9.4710382812624e-10,6.793133626007695e-10,0.5334973428870041,19.384137986341752,,,,,,
0,case2_zero_count,4,72,9,node,9.4710382812624e-10,2.221612128069995e-34,0.7360924439208825,22.37941773305632,,,,,,
0,case2_zero_count,4,72,mean,sample_mean,9.4710382812624e-10,9.4710382812624e-10,0.5634997224671923,19.4609057361753,,,,,,
0,case2_zero_count,5,81,2,node,5.146851195414694e-05,2.1670516131634902e-05,0.03411379265751085,10.25460900892056,,,,,,
0,case2_zero_count,5,81,3,node,5.146851195414694e-05,4.875906932423579e-05,0.019335078077330245,9.51135756905176,,,,,,
0,case2_zero_count,5,81,6,node,5.146851195414694e-05,0.00013544414745945708,0.030170786082309487,10.264680691090796,,,,,,
0,case2_zero_count,5,81,9,node,5.146851195414694e-05,3.149012599833353e-10,0.4613093902154475,16.459987098949348,,,,,,
0,case2_zero_count,5,81,mean,sample_mean,5.146851195414694e-05,5.146851195414694e-05,0.1362322617581495,11.622658592003116,,,,,,
0,case2_zero_count,6,82,2,node,6.9650430390027e-05,1.428703712121697e-05,0.00822179972156483,10.17383192844079,,,,,,
0,case2_zero_count,6,82,3,node,6.9650430390027e-05,8.929794517339816e-05,0.025045040304753078,9.632392956713801,,,,,,
