num_nodes,mean_degree,trial,topology,graph_seed,num_edges,mean_degree_observed,degree_std,average_clustering,average_shortest_path
100,4,92,ring,651296141,200,4.0,0.0,0.5,12.878787878787879
100,4,92,small_world,2350883962,200,4.0,0.7348469228349535,0.35076190476190483,4.593333333333334
100,4,92,scale_free,2575146536,200,4.0,3.1559467676119,0.05478218513512631,3.1024242424242425
100,4,93,er,668449045,200,4.0,1.7663521732655694,0.03032539682539683,3.433333333333333
100,4,93,ring,3289314909,200,4.0,0.0,0.5,12.878787878787879
100,4,93,small_world,1766324199,200,4.0,0.648074069840786,0.36099999999999993,4.779191919191919
100,4,93,scale_free,2727844127,200,4.0,3.3466401061363023,0.11257469431153641,3.0539393939393937
100,4,94,er,2788322597,200,4.0,1.9131126469708992,0.024523809523809524,3.4442424242424243
100,4,94,ring,2644130938,200,4.0,0.0,0.5,12.878787878787879
100,4,94,small_world,621806385,200,4.0,0.4898979485566356,0.40499999999999986,5.3133333333333335
100,4,94,scale_free,1084985250,200,4.0,3.7202150475476548,0.11516986955696633,3.0414141414141413
100,4,95,er,1840868199,200,4.0,1.9026297590440449,0.03247619047619047,3.466262626262626
100,4,95,ring,3180254143,200,4.0,0.0,0.5,12.878787878787879
100,4,95,small_world,3467612303,200,4.0,0.6782329983125268,0.3366666666666667,4.882424242424243
100,4,95,scale_free,2370782711,200,4.0,3.57211421989835,0.13307760376878025,3.0242424242424244
100,4,96,er,2039795929,200,4.0,2.172556098240043,0.038682539682539686,3.637171717171717
100,4,96,ring,3553162972,200,4.0,0.0,0.5,12.878787878787879
100,4,96,small_world,1970773469,200,4.0,0.4898979485566356,0.43099999999999994,6.26020202020202
100,4,96,scale_free,1768337364,200,4.0,3.5496478698597698,0.11379562707823576,3.04969696969697
100,4,97,er,3299174748,200,4.0,1.9339079605813716,0.03825252525252525,3.434747474747475
100,4,97,ring,3790843883,200,4.0,0.0,0.5,12.878787878787879
100,4,97,small_world,801442119,200,4.0,0.6,0.3726666666666667,5.285252525252525
100,4,97,scale_free,1924138906,200,4.0,3.627671429443411,0.13046470686176567,3.001010101010101
100,4,98,er,2830532143,200,4.0,1.6552945357246849,0.04230952380952382,3.417373737373737
100,4,98,ring,3400706732,200,4.0,0.0,0.5,12.878787878787879
100,4,98,small_world,1824671134,200,4.0,0.565685424949238,0.4039999999999999,5.026666666666666
100,4,98,scale_free,736452329,200,4.0,3.7416573867739413,0.07742821067821068,2.986060606060606
100,4,99,er,3393394680,200,4.0,1.8110770276274832,0.05306349206349204,3.4945454545454546
100,4,99,ring,3890274417,200,4.0,0.0,0.5,12.878787878787879
100,4,99,small_world,2659941195,200,4.0,0.6164414002968976,0.39599999999999996,5.032121212121212
100,4,99,scale_free,3853295348,200,4.0,3.7175260590882213,0.12285850750556632,3.004040404040404
200,4,0,er,3582984163,400,4.0,1.794435844492636,0.010809523809523809,3.9660804020100504
200,4,0,ring,3771307175,400,4.0,0.0,0.5,25.376884422110553
200,4,0,small_world,2442829619,400,4.0,0.648074069840786,0.38066666666666665,6.140251256281407
200,4,0,scale_free,700766869,400,4.0,4.1340053217188775,0.06508110446552699,3.381105527638191
200,4,1,er,444072499,400,4.0,1.797220075561143,0.022484126984126985,3.9757286432160805
200,4,1,ring,4144153848,400,4.0,0.0,0.5,25.376884422110553
200,4,1,small_world,2949380187,400,4.0,0.648074069840786,0.38054761904761897,6.0409547738693465
200,4,1,scale_free,2864267537,400,4.0,3.9484174044799265,0.07061745988216576,3.38356783919598
200,4,2,er,3983073426,400,4.0,1.944222209522358,0.024003968253968253,4.024321608040201
200,4,2,ring,2594008470,400,4.0,0.0,0.5,25.376884422110553
200,4,2,small_world,509401488,400,4.0,0.5830951894845301,0.4148333333333332,6.520804020100503
200,4,2,scale_free,3552982899,400,4.0,4.069397989875161,0.09672324753023878,3.381608040201005
200,4,3,er,3038897744,400,4.0,1.9467922333931784,0.027055555555555545,3.957638190954774
200,4,3,ring,1195955368,400,4.0,0.0,0.5,25.376884422110553
200,4,3,small_world,4220954876,400,4.0,0.6244997998398398,0.3648333333333333,6.018793969849246
200,4,3,scale_free,4037217537,400,4.0,4.066939881532551,0.051147530691514904,3.364673366834171
200,4,4,er,851100860,400,4.0,1.8973665961010275,0.009856782106782107,3.999045226130653
200,4,4,ring,3802558415,400,4.0,0.0,0.5,25.376884422110553
200,4,4,small_world,1296139810,400,4.0,0.6244997998398398,0.3314999999999999,5.791356783919598
200,4,4,scale_free,3053555274,400,4.0,4.56398948289761,0.07856047169205063,3.263668341708543
200,4,5,er,1797948266,400,4.0,1.9493588689617927,0.01861507936507937,4.01502512562814
200,4,5,ring,1212202058,400,4.0,0.0,0.5,25.376884422110553
200,4,5,small_world,1769673280,400,4.0,0.5385164807134504,0.4093333333333333,6.889447236180905
200,4,5,scale_free,2746001647,400,4.0,3.7107950630558943,0.08760966729349082,3.438140703517588
200,4,6,er,1274521481,400,4.0,1.9287301521985911,0.014440115440115442,3.970150753768844
200,4,6,ring,3686630109,400,4.0,0.0,0.5,25.376884422110553
200,4,6,small_world,2920156189,400,4.0,0.6708203932499369,0.3813333333333334,5.988090452261306
200,4,6,scale_free,3169515121,400,4.0,3.9127995093027703,0.05022243371533431,3.391859296482412
200,4,7,er,658990882,400,4.0,1.7748239349298849,0.018908730158730156,4.063618090452262
200,4,7,ring,1987267773,400,4.0,0.0,0.5,25.376884422110553
200,4,7,small_world,3945279391,400,4.0,0.6164414002968976,0.3921666666666666,6.242964824120603
200,4,7,scale_free,105067204,400,4.0,3.8288379438153295,0.07772418406663259,3.4474371859296484
200,4,8,er,2050973371,400,4.0,1.7916472867168918,0.0280515873015873,4.033869346733669
