num_nodes,mean_degree,topology,corrupt_ratio,core_honest_size,count,probability
100,4,small_world,0.5,37,4,0.021164021164021163
100,4,small_world,0.5,39,4,0.021164021164021163
100,4,small_world,0.5,40,1,0.005291005291005291
100,4,small_world,0.5,42,4,0.021164021164021163
100,4,small_world,0.5,43,2,0.010582010582010581
100,4,small_world,0.5,44,4,0.021164021164021163
100,4,small_world,0.5,45,1,0.005291005291005291
100,4,small_world,0.5,46,3,0.015873015873015872
100,4,small_world,0.5,48,1,0.005291005291005291
100,4,small_world,0.6,2,72,0.23300970873786409
100,4,small_world,0.6,3,39,0.1262135922330097
100,4,small_world,0.6,4,24,0.07766990291262135
100,4,small_world,0.6,5,19,0.061488673139158574
100,4,small_world,0.6,6,15,0.04854368932038835
100,4,small_world,0.6,7,10,0.032362459546925564
100,4,small_world,0.6,8,8,0.025889967637540454
100,4,small_world,0.6,9,7,0.022653721682847898
100,4,small_world,0.6,10,8,0.025889967637540454
100,4,small_world,0.6,11,7,0.022653721682847898
100,4,small_world,0.6,12,4,0.012944983818770227
100,4,small_world,0.6,13,1,0.003236245954692557
100,4,small_world,0.6,14,2,0.006472491909385114
100,4,small_world,0.6,15,3,0.009708737864077669
100,4,small_world,0.6,16,4,0.012944983818770227
100,4,small_world,0.6,17,2,0.006472491909385114
100,4,small_world,0.6,18,4,0.012944983818770227
100,4,small_world,0.6,19,7,0.022653721682847898
100,4,small_world,0.6,20,1,0.003236245954692557
100,4,small_world,0.6,21,1,0.003236245954692557
100,4,small_world,0.6,22,2,0.006472491909385114
100,4,small_world,0.6,23,2,0.006472491909385114
100,4,small_world,0.6,24,2,0.006472491909385114
100,4,small_world,0.6,25,5,0.016181229773462782
100,4,small_world,0.6,26,2,0.006472491909385114
100,4,small_world,0.6,27,2,0.006472491909385114
100,4,small_world,0.6,28,6,0.019417475728155338
100,4,small_world,0.6,29,5,0.016181229773462782
100,4,small_world,0.6,30,3,0.009708737864077669
100,4,small_world,0.6,31,2,0.006472491909385114
100,4,small_world,0.6,32,5,0.016181229773462782
100,4,small_world,0.6,33,6,0.019417475728155338
100,4,small_world,0.6,34,2,0.006472491909385114
100,4,small_world,0.6,35,8,0.025889967637540454
100,4,small_world,0.6,36,4,0.012944983818770227
100,4,small_world,0.6,37,7,0.022653721682847898
100,4,small_world,0.6,38,3,0.009708737864077669
100,4,small_world,0.6,39,4,0.012944983818770227
100,4,small_world,0.6,40,1,0.003236245954692557
100,4,small_world,0.7,2,104,0.268733850129199
100,4,small_world,0.7,3,63,0.16279069767441862
100,4,small_world,0.7,4,40,0.10335917312661498
100,4,small_world,0.7,5,23,0.059431524547803614
100,4,small_world,0.7,6,30,0.07751937984496124
100,4,small_world,0.7,7,14,0.03617571059431524
100,4,small_world,0.7,8,13,0.03359173126614987
100,4,small_world,0.7,9,12,0.031007751937984496
100,4,small_world,0.7,10,4,0.0103359173126615
100,4,small_world,0.7,11,9,0.023255813953488372
100,4,small_world,0.7,12,4,0.0103359173126615
100,4,small_world,0.7,13,8,0.020671834625323
100,4,small_world,0.7,14,1,0.002583979328165375
100,4,small_world,0.7,15,3,0.007751937984496124
100,4,small_world,0.7,16,4,0.0103359173126615
100,4,small_world,0.7,17,9,0.023255813953488372
100,4,small_world,0.7,18,5,0.012919896640826873
100,4,small_world,0.7,19,4,0.0103359173126615
100,4,small_world,0.7,20,6,0.015503875968992248
100,4,small_world,0.7,21,4,0.0103359173126615
100,4,small_world,0.7,22,4,0.0103359173126615
100,4,small_world,0.7,23,3,0.007751937984496124
100,4,small_world,0.7,24,5,0.012919896640826873
100,4,small_world,0.7,25,7,0.01808785529715762
100,4,small_world,0.7,26,2,0.00516795865633075
100,4,small_world,0.7,27,1,0.002583979328165375
100,4,small_world,0.7,28,3,0.007751937984496124
100,4,small_world,0.7,29,2,0.00516795865633075
100,4,small_world,0.8,2,126,0.3333333333333333
100,4,small_world,0.8,3,82,0.21693121693121692
100,4,small_world,0.8,4,53,0.1402116402116402
100,4,small_world,0.8,5,27,0.07142857142857142
100,4,small_world,0.8,6,20,0.05291005291005291
100,4,small_world,0.8,7,10,0.026455026455026454
100,4,small_world,0.8,8,15,0.03968253968253968
100,4,small_world,0.8,9,16,0.042328042328042326
100,4,small_world,0.8,10,5,0.013227513227513227
100,4,small_world,0.8,11,6,0.015873015873015872
100,4,small_world,0.8,12,4,0.010582010582010581
100,4,small_world,0.8,13,5,0.013227513227513227
100,4,small_world,0.8,14,3,0.007936507936507936
